0.67, 0.00
-0.02, 0.03
0.00, 0.00
-1.75, -0.25
-0.00, 0.00
2.00, 0.50
-3.50, 0.50
0.50, 0.00
0.09, -0.06
3.50, 1.00
0.00, 0.00
-0.03, -0.24
-0.05, -0.05
0.00, -0.05
-0.67, 0.17
1.50, 1.00
-0.20, 0.50
0.25, -0.25
-0.00, 0.00
0.50, 0.50
0.00, 0.10
0.05, 0.05
|None|
-4.00, -0.16
1.00, 1.00
0.25, 0.25
|None|
-0.35, -0.06
0.00, 0.00
-1.67, -0.67
0.17, 0.33
0.04, -0.02
-0.10, -0.80
0.02, -0.44
1.00, 0.00
0.00, -1.00
0.25, 0.25
-1.25, -0.50
0.04, -0.08
-1.00, -1.75
0.33, -0.67
|None|
-1.00, 0.00
|None|
-0.30, -0.40
0.80, 0.40
-0.18, -0.06
0.11, -0.34
0.00, -0.20
0.00, 0.00
0.00, 0.00
0.11, 0.04
0.69, -1.12
0.10, 0.10
-2.40, 0.10
0.00, 0.00
0.25, -0.75
0.00, -0.50
0.75, -0.50
0.20, -1.40
1.67, -0.50
0.25, -0.12
-0.05, -0.60
0.10, 0.00
0.00, 0.25
-0.00, -1.00
1.93, 0.64
0.00, 0.00
-0.01, 0.05
0.13, -0.73
0.90, -0.10
2.25, -0.50
1.25, 0.25
0.00, -1.00
0.14, 0.23
-0.12, -0.12
0.00, 0.00
|None|
-0.44, -0.28
-0.00, -0.14
-0.05, -0.38
0.28, 0.64
0.06, -0.38
0.43, -0.43
-2.00, -0.20
0.00, 0.00
0.00, 0.07
0.25, 0.25
-0.34, -0.00
-0.57, -0.21
-0.10, -0.40
1.33, 0.34
0.00, -0.00
0.50, 0.25
0.10, 0.03
0.05, -0.20
0.25, -0.33
-0.00, 0.00
0.00, 0.00
-0.25, -0.38
0.20, -0.70
0.33, -0.17
0.00, -0.00
0.07, 0.21
0.00, 0.00
0.00, 0.00
0.08, 0.06
0.00, 0.00
0.60, -0.30
0.05, -0.15
0.75, -0.75
|None|
0.02, -0.02
-0.20, -0.20
0.25, 0.10
-0.50, 0.00
-0.12, -0.12
-0.33, 0.17
|None|
0.00, 0.00
|None|
0.00, 0.01
-2.80, -2.80
-1.00, -1.50
-0.34, 1.00
0.72, 1.06
0.20, -0.25
0.00, 0.00
-0.09, -0.28
0.83, 0.22
0.61, -0.67
-0.50, -0.31
0.00, 0.00
1.25, 0.00
-0.90, -1.00
-0.03, -0.06
1.00, -1.00
