epoch,state_change_arousal val_MAE,state_change_arousal val_MAPE,state_change_arousal val_RMSE,state_change_arousal val_SMAPE,state_change_valence val_MAE,state_change_valence val_MAPE,state_change_valence val_RMSE,state_change_valence val_SMAPE,step,train_loss_epoch,train_loss_step,val_loss
0,,,,,,,,,49,,2.2623605728149414,
0,0.6707602739334106,3096499.0,0.931797444820404,1.9201911687850952,1.029030203819275,7938012.5,1.3658071756362915,1.7325507402420044,61,,,2.297604560852051
0,,,,,,,,,61,2.412442445755005,,
1,,,,,,,,,99,,2.357313871383667,
1,0.6842451691627502,8515703.0,0.9183123707771301,1.7704311609268188,1.0209929943084717,13987007.0,1.3242099285125732,1.5939022302627563,123,,,2.2425222396850586
1,,,,,,,,,123,2.314560651779175,,
2,,,,,,,,,149,,2.147475481033325,
2,0.6587045192718506,7379646.5,0.8938313722610474,1.7701388597488403,1.0875837802886963,18002342.0,1.3652007579803467,1.5846143960952759,185,,,2.2590322494506836
2,,,,,,,,,185,2.281557083129883,,
3,,,,,,,,,199,,2.2905473709106445,
3,0.6771638989448547,6555630.5,0.90772545337677,1.8168089389801025,1.0111790895462036,11328412.0,1.3069047927856445,1.6457440853118896,247,,,2.214630126953125
3,,,,,,,,,247,2.2735867500305176,,
4,,,,,,,,,249,,2.332092046737671,
4,,,,,,,,,299,,2.051326274871826,
4,0.6666545867919922,6000307.5,0.8971877098083496,1.8173710107803345,0.9829121828079224,11680396.0,1.2606263160705566,1.6008323431015015,309,,,2.1578140258789062
4,,,,,,,,,309,2.272860288619995,,
5,,,,,,,,,349,,2.2493276596069336,
5,0.6575426459312439,7749766.0,0.8787474036216736,1.7489380836486816,0.9920461773872375,11373173.0,1.2861371040344238,1.6294423341751099,371,,,2.164884567260742
5,,,,,,,,,371,2.243926763534546,,
6,,,,,,,,,399,,2.2761142253875732,
