user_id,num_entries,mean,median,variability,variance,home_base,density,displacement,avg_displacement,rise_rate,max_rise,recovery_rate,max_fall,entropy,range,min_value,max_value
1,5,1.6,2.0,0.8,0.64,1.8888888888888888,1.249998437501953,4.0,0.8,2.0,2.0,2.0,-2.0,0.7219280948873623,2.0,0.0,2.0
10,4,1.25,2.0,1.299038105676658,1.6875,1.8333333333333333,0.7697997663273647,3.0,0.75,3.0,3.0,0.0,0.0,0.8112781244591328,3.0,-1.0,2.0
103,31,-0.6451612903225806,-1.0,1.0640272582239125,1.1321540062434965,0.0,0.9398246637445615,45.0,1.4516129032258065,1.6923076923076923,3.0,1.7692307692307692,-3.0,2.0347287792895234,4.0,-2.0,2.0
105,14,-1.2142857142857142,-2.0,1.0809104250301114,1.1683673469387759,-1.8333333333333335,0.9251451847427209,14.0,1.0,2.3333333333333335,3.0,1.75,-2.0,1.1981174211304033,3.0,-2.0,1.0
106,9,0.1111111111111111,-1.0,1.5234788000891208,2.3209876543209877,-0.888888888888889,0.6563920308897445,11.0,1.2222222222222223,1.75,3.0,4.0,-4.0,1.7527152789797045,4.0,-2.0,2.0
107,17,-1.1176470588235294,-1.0,0.7578881603955956,0.57439446366782,-1.0,1.3194541527392076,15.0,0.8823529411764706,1.3333333333333333,2.0,1.1666666666666667,-2.0,1.548565226030918,2.0,-2.0,0.0
108,28,1.9642857142857142,2.0,0.18557687223952257,0.034438775510204085,1.9444444444444444,5.388573475555938,2.0,0.07142857142857142,1.0,1.0,1.0,-1.0,0.222284830685688,1.0,1.0,2.0
109,7,1.1428571428571428,1.0,0.9897433186107869,0.9795918367346937,1.1666666666666665,1.0103619502495433,7.0,1.0,1.3333333333333333,2.0,3.0,-3.0,1.4488156357251847,3.0,-1.0,2.0
11,63,-0.2698412698412698,0.0,1.3593456549845486,1.8478206097253718,-1.7777777777777777,0.7356475232665113,103.0,1.6349206349206349,1.9259259259259258,4.0,2.04,-4.0,2.2879428559873047,4.0,-2.0,2.0
113,11,-0.2727272727272727,-1.0,0.9620913858416692,0.9256198347107436,-0.8333333333333334,1.039401220419355,11.0,1.0,1.3333333333333333,2.0,1.4,-2.0,1.6171895725927152,3.0,-1.0,2.0
114,14,-0.5714285714285714,-1.0,0.6226998490772391,0.38775510204081637,-0.8888888888888888,1.6059075581507054,9.0,0.6428571428571429,1.0,1.0,1.3333333333333333,-2.0,1.1981174211304033,2.0,-1.0,1.0
