arousal val_MAE,arousal val_MAPE,arousal val_RMSE,arousal val_SMAPE,epoch,step,train_loss_epoch,train_loss_step,val_loss,valence val_MAE,valence val_MAPE,valence val_RMSE,valence val_SMAPE
,,,,0,49,,1.5483322143554688,,,,,
0.3926711678504944,21604736.0,0.4762135446071625,0.9522338509559631,0,63,,,1.5238324403762817,0.8160523772239685,9566933.0,1.0476188659667969,1.2624573707580566
,,,,0,63,1.754171371459961,,,,,,
,,,,1,99,,1.4041850566864014,,,,,
0.2322053164243698,6135424.0,0.3088797926902771,0.9732944369316101,1,127,,,1.3560771942138672,0.8239429593086243,9641660.0,1.0471973419189453,1.266228199005127
,,,,1,127,1.4603495597839355,,,,,,
,,,,2,149,,1.5261781215667725,,,,,
0.2238379269838333,7448578.5,0.30120640993118286,0.9446586966514587,2,191,,,1.2573755979537964,0.7450498342514038,11021057.0,0.9561691880226135,1.1404047012329102
,,,,2,191,1.385056972503662,,,,,,
,,,,3,199,,1.1427497863769531,,,,,
,,,,3,249,,1.2133816480636597,,,,,
