text_id,text,timestamp,order,valence,arousal,collection_phase,is_words
3530,I would say that I am feeling relaxed . Also another way that I would be feeling is happy and the reason for that is because I have been able to spend time with family and also to enjoy the weather also,2024-08-08T17:01:04,0,2.0,0.0,7,False
3531,"Happy , Great , Peaceful , Na , Na",2024-08-09T17:07:58,1,2.0,0.0,7,True
3532,I would say that right now that I am feeling relax . The reason that I say that is because it is the weekend and also I am just watching movies . Also the reason thay I say this is because I am happy and also doing something that I enjoy doing alot of the times also,2024-08-10T17:06:05,2,0.0,1.0,7,False
3533,I am feeling happy right now because I am able to relax and also have the day off of work .   Also another reason why I am not feeling the bad is because I was able to spend time with family today . Also another reason I feel good is because I was able to also get some work done today .,2024-08-10T22:00:46,3,0.0,1.0,7,False
3534,I would say now the way that I am feeling is content and also relax and the reason that I am feeling this way is because I feel that I have made good time of this weekend . Also another reason is because I was able to rest and I also feel alot more better and rested .,2024-08-11T12:00:45,4,2.0,0.0,7,False
3535,The way that I am feeling is frustrated right now and the reason for that is because of the way that I am feeling now . The reason that I say that is because some days no matter how hard you try it is like some people try so hard to get to mad .,2024-08-11T17:02:59,5,-2.0,0.0,7,False
3542,"Average , Ok , Making it , Na , Na",2024-08-11T22:02:55,6,0.0,1.0,7,True
3543,Overall the way that I am feeling right now would be not bad but also happy also . The reason that I say this is because I have had am good morning   and also was able to relax an little also . Also another reason thaylt I say this is because I was able to have an good breakfast that I also had enjoyed .,2024-08-12T12:02:19,7,0.0,1.0,7,False
3544,I would say the way that I am feeling right now is that I am satisfied and the reason for that is because I am relaxed and also at peace . The reason that I say that is because I am out in nature and it is something that is relaxing to me .,2024-08-12T17:01:36,8,2.0,0.0,7,False
3545,"Even , Good , Fine , Relaxed , Na",2024-08-12T22:01:05,9,0.0,1.0,7,True
3546,"Energized , Happy , Relaxed , Na , Na",2024-08-13T12:13:01,10,2.0,0.0,7,True
3547,I would say that the way that I am feeling right now is that I am content and also happy at the same time .   The reason that I say this is because I was able to spend time with family and also be able to get work done at the same time also .,2024-08-13T17:05:24,11,0.0,1.0,7,False
3548,"Good , Calm , Tired , Ok , Na",2024-08-13T22:02:48,12,0.0,1.0,7,True
3549,I would say that right now that I feel content with where I am and also am enjoying time with family right now .   Also it is an day that you are able to enjoy the weather that it is nice today .   Also it is an great day to be alive today,2024-08-14T12:01:16,13,0.0,1.0,7,False
3550,The reason that I would say   that I feel calm is because I was able to go out and enjoy what nature had to offer me and also it is something that is an good stress reliver also .   Also it was an time that I was able to spend time with family .,2024-08-14T17:01:31,14,2.0,0.0,7,False
3551,I would say that I am feeling pretty good and also happy at this moment . The reason that I say this is because I am on vacation and also enjoying the time that I get to spend with family . Also I would say that it was an time that I was having fun,2024-08-14T22:03:31,15,2.0,0.0,7,False
3553,"Calm , Happy , Peaceful , Na , Na",2024-08-15T12:04:18,16,2.0,0.0,7,True
