text_id,text,timestamp,order,valence,arousal,collection_phase,is_words
2090,"Tired , Not motivated , Lazy , Happy , Sad",2021-05-25T12:01:44,0,-1.0,0.0,1,True
2091,"Tired , Anxious , Sad , Happy , Depressed",2021-05-26T12:14:03,1,-1.0,0.0,1,True
2092,"Sad , Anxious , Happy , Restless , Tired",2021-05-27T12:01:17,2,-2.0,1.0,1,True
2093,"Happy , Tired , Anxious , Neutral , Calm",2021-05-28T12:01:06,3,0.0,1.0,1,True
2094,"Calm , Happy , Mad , Excited , Anxious",2021-05-29T12:05:28,4,1.0,1.0,1,True
2095,"Happy , Excited , Anxious , Sleepy , Tired",2021-05-30T12:04:38,5,2.0,1.0,1,True
2096,"Happy , Excited , Calm , Tired , Hopeful",2021-05-31T13:25:20,6,2.0,1.0,1,True
2097,"Tired , Anxious , Happy , Sad , Mad",2021-06-02T12:01:08,7,1.0,1.0,1,True
2084,"Happy , Anxious , In pain , Sad , Neutral",2021-06-03T12:30:28,8,1.0,1.0,1,True
2085,"Happy , Sad , Mad , Anxious , Tired",2021-06-04T12:47:44,9,1.0,1.0,1,True
2086,"Happy , Irritated , Sad , Mad , Neutral",2021-06-05T13:08:49,10,0.0,1.0,1,True
2087,"Mad , Angry , Anxious , Happy , Sad",2021-06-06T13:25:16,11,0.0,1.0,1,True
2088,"Sleepy , Tired , Sad , Mad , Anxious",2021-06-07T13:40:49,12,0.0,1.0,1,True
2089,"Happy , Excited , Anxious , Neutral , Sad",2021-06-08T12:46:39,13,1.0,1.0,1,True
2115,I did not sleep well so I feel tired . I do not feel like I am read to start the day because I feel sluggish . I feel overwhelmed because I have so much to do today . I wish I would have slept better so I would feel better overall and be ready to tackle the day instead of wanting to stay in bet for the rest of the day .,2022-01-26T10:03:01,14,-1.0,0.0,2,False
2116,I am feeling pretty happy . After I got ready for the day I felt less sluggish and it’s easier to get everything done that I needed to today . I feel a little tired from not sleeping well But I feel a lot better than I did this morning .,2022-01-26T15:03:33,15,1.0,1.0,2,False
2117,I went to the gym after work and made dinner at home so I feel relaxed and accomplished . I feel calmer than I felt in the morning when I woke up because I was stressed out in the morning about the things I have to accomplish all through the day .,2022-01-26T20:09:54,16,2.0,0.0,2,False
2118,I Slept pretty well last night so I feel rested and ready to start my day . I don’t feel as anxious or overwhelmed as I did yesterday . I feel pretty happy and in a good mood and overall just feel good . I feel a lot better than yesterday .,2022-01-27T10:57:16,17,2.0,0.0,2,False
2119,I had a productive day and feel pretty happy . I feel like I accomplished a lot today . I feel like a had a great day at work and everything went smooth and everyone was nice and happy . I feel like today was a good day overall .,2022-01-27T20:01:41,18,1.0,1.0,2,False
2120,I feel somewhat tired because I went to bed super late . I feel a little sluggish but not too bad to start start my day . I kinda regret going to bed so late just because today will be a long day . Overall I just feel neutral not sad but not too happy either .,2022-01-28T10:38:51,19,0.0,1.0,2,False
2121,I feel sluggish and tired . I had a long day at work and regretted going out and staying up too late last night . I wish I had more energy to get things done today . I wish I would have slept a little more and better so I would not feel all day today .,2022-01-28T15:02:08,20,-2.0,0.0,2,False
2122,"I am feeling very neutral , not happy but not sad either . I feel like I have accomplished everything I needed today and can just relax for the night because I’ll have a long weekend ahead of me . I just wish I did not feel as sluggish as I did early in the day .",2022-01-28T20:44:01,21,0.0,1.0,2,False
2123,I stayed up fairly late last night to finish my homework but I did sleep pretty good so I woke up rested and content . I feel calm and pretty happy and feel like I’m ready to tackle the day . On the weekends I always have a ton of errands and things to do but I’m not anxious or anything today because I slept well last night .,2022-01-29T10:42:45,22,1.0,0.0,2,False
2124,I had a long day at work so I just feel sluggish and tired . I feel like today was just crazy busy and I had to deal with a lot which made me feel sluggish and tired . My mood overall is kind of neutral because I am not sad but I’m not very happy either .,2022-01-29T16:53:18,23,-2.0,0.0,2,False
2125,I have been cleaning my house after work so I just feel very neutral and relaxed . I am not feeling anxious or anything just more of a neutral mood and when I feel like that I feel like cleaning is a good relaxation for me .,2022-01-29T22:11:22,24,0.0,1.0,2,False
2126,I slept well last night and feel well rested and pretty happy . I am excited for today because I don’t have to work and get to watch football with friends . I got everything that I needed done early in the week so today I just get to relax and enjoy the day .,2022-01-30T11:01:36,25,2.0,1.0,2,False
2127,I’m feeling pretty excited to be able to watch the football game so I am pretty happy . I am feeling nervous just because I want my team to win but overall I’m just feeling happy that I got my week done and over with and can relax today .,2022-01-30T15:01:14,26,2.0,1.0,2,False
2128,Got to watch my home team win and I am extremely happy about that . I feel very calm and excited because of our hometown football team and their win . I don’t feel anxious or anything just super happ and very excited .,2022-01-30T20:21:24,27,2.0,1.0,2,False
2129,I feel super sluggish because I might have eaten something that did not agree with my stomach so I did not sleep well at all and kept getting sick through the night . I feel like I did not drink too much so it had to be the food that I ate . I wish I did not have to work today because I know I’ll feel sluggish all day .,2022-01-31T10:02:20,28,-2.0,0.0,2,False
2130,I just do not feel good today so I feel very sluggish and tired . I feel like I am just slumping around because I do not feel good and did not sleep well either . I hope I get to go home and relax for awhile after I get off work and maybe I will start feel better .,2022-01-31T15:03:32,29,-2.0,0.0,2,False
2131,I have not been feeling well today so I am just laying around the house and feel pretty neutral . I hope I feel better tomorrow after getting some sleep so I can get more done with my day than I did today .,2022-01-31T20:05:07,30,0.0,1.0,2,False
2132,Had a pretty long day but I just feel pretty neutral . I am not anxious or exhausted just tired from working a lot . I feel like I need to start making time to go to the gym so I would sleep better through the night .,2022-02-02T21:31:44,31,0.0,1.0,2,False
2133,I am feeling fine but kind of stuck . We are having a pretty bad snow storm so my work closed so I will just be stuck in the house all day because the roads are prettty bad . My mood is actually pretty good and I am pretty happy .,2022-02-03T10:38:37,32,0.0,0.0,2,False
2134,I feel pretty happy and just relaxed . There is a pretty big winter storm so I just get to sit at home all day because my work closed . I haven’t had a nice relaxing day off in awhile so it’s nice to just hang out,2022-02-03T15:33:19,33,1.0,1.0,2,False
2135,I just feel very neutral . Did not do a whole lot today because I was just stuck in the house so I just enjoyed the day off and caught up on some house and homework . It has been a very relaxing and quite day so I was just relaxing .,2022-02-03T20:05:24,34,0.0,0.0,2,False
2098,I think I might get another snow day because it is still snowing outside today . I haven’t done a whole lot so I just feel calm and content . I feel like it will be a pretty calm weekend so I don’t really have any plans or a whole lot to do .,2022-02-04T10:01:18,35,2.0,0.0,2,False
2099,I am stuck in the house for second day in a row so I am just content and calm at my house . I haven’t done a whole lot yesterday or today and I am not used to being lazy for so many days in a row so it is kind of weird but it is nice,2022-02-04T15:47:00,36,2.0,0.0,2,False
