text_id,text,timestamp,order,valence,arousal,collection_phase,is_words
11,"Calm , Excited , Happy , Calm , Calm",2024-10-26T12:00:25,0,1.0,0.0,7,True
205,"When I came home I felt invigorated after a good gym workout . I cooked and ate lunch . Post meal and shower , I am feeling calm , sleepy and relaxed . I am going to a Halloween party tonight so I am also excited . However , I am anticipating being tired after the party is over .",2024-10-26T17:00:22,1,0.0,0.0,7,False
216,"Anticipating , Tired , Excited , Happy , Calm",2024-10-26T22:00:27,2,0.0,1.0,7,True
227,"tired , sleepy , calm , tired , sleepy",2024-10-27T12:06:58,3,-2.0,0.0,7,True
238,"I am feeling somewhat tired currently because last night my friends and I went out to a halloween party and came back home late . However , I am also feeling full after a good lunch and productive post cleaning .",2024-10-27T17:12:00,4,0.0,1.0,7,False
259,"tired , calm , free , happy , chill",2024-10-27T22:01:50,5,0.0,0.0,7,True
270,I am feeling somewhat tired . I woke up early this morning so I could get some work done before heading to lectures . I am feeling motivated to get a workout in later . I am looking forward to getting through the week so I can enjoy the weekend events .,2024-10-28T12:05:42,6,-1.0,0.0,7,False
289,I am feeling tired but happy that I have gotten through my lectures and quiz and have come home . I am feeling motivated to finish my assignment so that I can take a break and possibly nap . I am somewhat distracted thinking about cooking dinner in some time .,2024-10-28T17:00:20,7,-1.0,0.0,7,False
302,"calm , full , tired , calm , full",2024-10-28T22:19:40,8,1.0,0.0,7,True
303,"tired , anticipating , happy , calm , calm",2024-10-29T12:00:13,9,0.0,0.0,7,True
357,"tired , anticipating , full , tired , anticipating",2024-10-29T17:05:53,10,-1.0,0.0,7,True
372,I am currently tired . I am doing a night shift at the hospital . I am anticipating the night ahead . I am feeling full from dinner . I had some popcorn which made me happy . I am somewhat uncomfortable because it is hot here .,2024-10-29T22:00:18,11,0.0,0.0,7,False
374,"Tired , Calm , Exhausted , Tired , Calm",2024-10-30T12:53:53,12,-2.0,0.0,7,True
375,"tired , calm , content , tired , calm",2024-10-30T17:00:15,13,0.0,0.0,7,True
383,I am feeling tired on my night shift at the hospital . I am full from my dinner . I am calm and content . I am anticipating the night ahead and the assignments I need to complete . I am looking forward to my anniversary tomorrow .,2024-10-30T22:05:01,14,-1.0,0.0,7,False
399,"tired , hungry , calm , tired , calm",2024-10-31T12:00:56,15,0.0,0.0,7,True
417,I am currently feeling slightly tired and anticipating the rest of the day . In a little while I have to head out to my night shift . I am feeling calm . I feel full from lunch . I am happy because today is my dating anniversary .,2024-10-31T17:39:10,16,0.0,1.0,7,False
428,"tired , calm , content , tired , calm",2024-10-31T22:00:19,17,0.0,0.0,7,True
564,"tired , calm , content , tired , focused",2024-11-01T12:00:18,18,0.0,0.0,7,True
