time_point,emotion_value,entry_id
2024-09-23T17:23:30,0.0,5207
2024-09-23T22:22:43,0.0,5208
2024-09-24T12:08:24,-2.0,5209
2024-09-24T17:26:25,-2.0,5210
2024-09-24T22:03:28,0.0,5211
2024-09-25T12:12:46,1.0,5212
2024-09-25T17:06:26,1.0,5213
2024-09-25T22:00:40,0.0,5214
2024-09-26T12:18:10,0.0,5215
2024-09-27T12:05:24,1.0,5216
2024-09-27T17:09:53,1.0,5217
2024-09-28T17:00:54,1.0,5218
2024-09-28T20:38:51,2.0,5219
2024-09-29T12:07:39,-2.0,5220
2024-09-30T12:31:19,0.0,5221
2024-09-30T17:08:31,0.0,5222
2024-10-01T22:16:36,-2.0,5223
2024-10-02T22:42:54,0.0,5264
2024-10-03T12:03:05,0.0,5265
2024-10-03T22:06:47,-2.0,5266
