time_point,emotion_value,entry_id
2021-06-08T15:11:55,0.0,23
2021-06-11T17:10:13,0.0,24
2021-06-15T16:35:44,2.0,25
2021-06-18T15:36:22,2.0,22
2022-02-11T12:51:15,2.0,34
2022-02-11T15:01:04,2.0,35
2022-02-12T20:06:00,2.0,36
2022-02-14T15:01:30,2.0,37
2022-02-14T20:55:39,2.0,38
2022-02-15T15:16:55,2.0,39
2022-02-15T20:02:31,2.0,40
2022-02-16T11:56:54,0.0,41
2022-02-17T15:03:31,1.0,42
2022-02-17T20:01:03,2.0,43
2022-02-18T10:16:46,-2.0,44
2022-02-18T20:07:53,2.0,45
2022-02-19T12:49:41,2.0,46
2022-02-19T15:05:34,2.0,47
2022-02-19T20:03:29,2.0,48
2022-02-20T20:02:31,2.0,26
2022-02-21T17:00:05,2.0,27
2022-02-21T20:34:57,1.0,28
2022-02-22T15:08:59,2.0,29
2022-02-22T20:07:38,1.0,30
2022-02-23T11:03:27,0.0,31
2022-02-23T16:13:47,0.0,32
2022-02-23T20:01:13,1.0,33
2022-05-12T10:02:00,-1.0,60
2022-05-12T17:35:00,1.0,61
2022-05-12T20:01:00,2.0,62
2022-05-13T10:20:00,2.0,63
2022-05-13T15:45:00,0.0,64
2022-05-13T20:00:00,2.0,65
2022-05-14T12:39:00,0.0,66
2022-05-14T15:09:00,2.0,67
2022-05-14T20:00:00,2.0,68
2022-05-15T11:51:00,0.0,69
2022-05-15T16:33:00,-1.0,70
2022-05-15T20:17:00,1.0,71
2022-05-16T10:55:00,0.0,72
2022-05-16T15:23:00,2.0,73
2022-05-16T20:28:00,2.0,74
2022-05-17T15:22:00,2.0,75
2022-05-17T20:00:00,2.0,76
2022-05-18T15:04:00,2.0,77
2022-05-18T20:32:00,2.0,78
2022-05-19T10:00:00,0.0,79
2022-05-19T15:09:00,0.0,80
2022-05-19T20:21:00,1.0,81
2022-05-20T11:08:00,-1.0,82
2022-05-20T15:51:00,-1.0,83
2022-05-20T20:00:00,2.0,84
2022-05-21T15:08:00,1.0,49
2022-05-21T21:00:00,0.0,50
2022-05-22T10:20:00,0.0,51
2022-05-22T20:00:00,-1.0,52
2022-05-23T10:14:00,-2.0,53
2022-05-23T15:02:00,-1.0,54
2022-05-23T20:01:00,2.0,55
2022-05-24T11:53:00,2.0,56
2022-05-24T15:34:00,2.0,57
2022-05-24T20:00:00,2.0,58
2022-05-25T15:06:00,2.0,59
2022-09-05T20:01:52,1.0,100
2022-09-06T11:51:38,1.0,101
2022-09-06T15:03:01,2.0,102
2022-09-06T20:00:44,2.0,103
2022-09-07T12:22:50,2.0,104
2022-09-07T15:03:55,2.0,105
2022-09-07T20:00:27,-1.0,106
2022-09-08T10:03:51,1.0,107
2022-09-08T16:56:45,0.0,108
2022-09-08T20:00:46,2.0,109
2022-09-09T11:48:47,2.0,110
2022-09-09T15:03:05,1.0,111
2022-09-09T20:03:17,1.0,112
2022-09-10T11:58:39,-1.0,113
2022-09-10T16:09:08,0.0,114
2022-09-10T20:57:53,-1.0,115
2022-09-11T10:48:10,0.0,116
2022-09-11T15:02:50,0.0,117
2022-09-11T20:43:57,2.0,118
2022-09-12T10:05:17,1.0,119
2022-09-12T15:15:41,0.0,120
2022-09-12T20:03:28,2.0,121
2022-09-13T15:21:44,2.0,122
2022-09-13T20:07:03,2.0,123
2022-09-14T11:54:08,2.0,85
2022-09-14T15:26:22,1.0,86
2022-09-14T21:24:50,1.0,87
2022-09-15T10:14:08,-1.0,88
2022-09-15T15:00:48,0.0,89
2022-09-15T20:08:19,-2.0,90
2022-09-16T12:35:34,2.0,91
2022-09-16T20:01:48,2.0,92
2022-09-17T11:05:25,-1.0,93
2022-09-17T15:57:32,-1.0,94
2022-09-17T20:04:56,-1.0,95
2022-09-18T16:11:56,-1.0,96
2022-09-18T20:45:26,-2.0,97
2022-09-19T10:24:21,-1.0,98
2022-09-19T15:03:35,-1.0,99
2023-03-10T20:10:29,2.0,141
2023-03-11T15:11:51,-2.0,142
2023-03-11T20:00:37,2.0,143
2023-03-12T15:01:57,1.0,144
2023-03-12T22:00:17,-1.0,145
2023-03-13T10:16:27,-2.0,146
2023-03-13T16:20:45,0.0,147
2023-03-13T20:01:02,2.0,148
2023-03-14T10:34:15,-2.0,149
2023-03-14T15:43:34,1.0,150
2023-03-14T20:07:45,2.0,151
2023-03-15T11:07:34,1.0,152
2023-03-15T15:08:34,2.0,153
2023-03-15T21:13:49,2.0,154
2023-03-16T10:15:36,-2.0,155
2023-03-16T17:53:55,1.0,156
2023-03-16T20:12:17,1.0,157
2023-03-17T15:39:27,-1.0,158
2023-03-17T20:15:51,1.0,159
2023-03-18T10:25:09,2.0,160
2023-03-18T15:05:32,2.0,161
2023-03-18T20:03:11,1.0,162
2023-03-19T10:40:55,0.0,124
2023-03-19T16:01:29,1.0,125
2023-03-19T21:51:43,2.0,126
2023-03-20T10:01:51,1.0,127
2023-03-20T17:03:02,1.0,128
2023-03-20T21:28:09,2.0,129
2023-03-21T11:27:16,2.0,130
2023-03-21T17:31:20,2.0,131
2023-03-21T21:49:23,2.0,132
2023-03-22T11:22:36,2.0,133
2023-03-22T15:00:58,2.0,134
2023-03-22T22:12:32,2.0,135
2023-03-23T10:47:53,1.0,136
2023-03-23T15:03:09,0.0,137
2023-03-23T21:25:36,0.0,138
2023-03-24T11:13:43,1.0,139
2023-03-24T15:01:07,1.0,140
2023-06-27T15:00:27,2.0,176
2023-06-27T20:00:31,2.0,177
2023-06-28T10:16:43,-1.0,178
2023-06-28T17:29:55,-1.0,179
2023-06-29T10:22:22,1.0,180
2023-06-29T15:26:13,2.0,181
2023-06-29T21:20:18,-1.0,182
2023-06-30T11:59:05,0.0,183
2023-06-30T17:13:09,2.0,184
2023-06-30T20:26:32,2.0,185
2023-07-01T10:02:54,1.0,186
2023-07-01T16:47:20,2.0,187
2023-07-01T20:55:14,2.0,188
2023-07-02T10:44:30,2.0,189
2023-07-02T20:08:41,2.0,190
2023-07-03T12:59:27,2.0,191
2023-07-03T15:28:20,2.0,192
2023-07-03T20:30:41,2.0,193
2023-07-04T10:04:44,1.0,194
2023-07-04T15:12:53,1.0,195
2023-07-04T21:59:35,-2.0,196
2023-07-05T11:33:48,2.0,197
2023-07-05T15:54:38,2.0,198
2023-07-05T20:03:13,2.0,199
2023-07-06T11:26:59,2.0,163
2023-07-06T17:15:45,2.0,164
2023-07-06T22:40:10,2.0,165
2023-07-07T12:30:48,2.0,166
2023-07-07T16:03:28,2.0,167
2023-07-07T21:11:09,2.0,168
2023-07-08T12:00:30,2.0,169
2023-07-08T17:21:54,2.0,170
2023-07-09T12:01:21,0.0,172
2023-07-09T15:18:29,1.0,173
2023-07-10T17:44:51,1.0,174
2023-07-10T21:53:13,1.0,175
