time_point,emotion_value,entry_id
2024-07-20T17:38:34,-1.0,1477
2024-07-21T12:04:40,1.0,1484
2024-07-21T17:08:46,0.0,1485
2024-07-22T12:42:25,0.0,1486
2024-07-22T17:01:31,0.0,1498
2024-07-22T22:00:32,1.0,1509
2024-07-23T12:01:28,0.0,1520
2024-07-23T17:01:08,0.0,1570
2024-07-23T22:02:26,-1.0,1581
2024-07-24T12:28:03,-1.0,1592
2024-07-24T17:06:15,0.0,1778
2024-07-24T22:02:34,0.0,1797
2024-07-25T12:29:35,0.0,1819
2024-07-25T17:03:44,0.0,1829
2024-07-25T22:33:45,0.0,1840
2024-07-26T12:03:25,0.0,1851
2024-07-26T22:02:48,0.0,1862
2024-07-27T12:06:17,0.0,1873
2024-07-27T17:01:06,-1.0,1884
2024-07-27T22:20:44,0.0,1895
2024-07-28T17:25:18,0.0,1910
2024-07-28T22:04:41,0.0,1921
2024-07-29T12:01:15,0.0,1928
2024-07-29T17:09:25,0.0,1932
2024-07-29T22:26:45,1.0,1943
2024-07-30T12:00:41,2.0,1954
2024-07-30T17:39:09,0.0,1969
2024-07-30T22:01:17,0.0,1980
2024-07-31T12:07:42,0.0,1991
2024-07-31T17:04:24,1.0,2002
2024-07-31T22:02:55,1.0,2013
2024-08-01T12:09:55,1.0,2024
2024-08-01T17:00:39,-1.0,2036
2024-08-01T22:12:11,0.0,2041
2024-08-02T12:01:34,-1.0,2042
2024-08-02T17:01:47,0.0,2043
2024-08-02T22:37:14,1.0,2044
